STL00725,Kỷ niệm 50 năm – hành trình tự hào của Sotrans. Chúc công ty ngày càng phát triển bền vững!,,,,
STL00560,CHÚC MỪNG SINH NHẬT 50 NĂM,,,,
STL00675,Chúc Sotrans ngày càng phát triển vững mạnh và giữ vững vị thế tiên phong trong ngành logistics.,,,,
STL00424,"Happy Golden Anniversary, SOTRANS!Forward together – Faster, Stronger, Smarter!",,,,
STL00723,"Chúc Sotrans sinh nhật vui vẻ nhé! Chúc cậu sẽ phát triển hơn nữa, thành công rực rỡ trong tương lai",,,,
STL00731,Chúc mừng sinh nhật đại STG <3 !,,,,
STL00531,Ngày mới vui vẻ,,,,
STL00716,Chúc Sotrans ngày càng phát triển và vững mạnh,,,,
STL00437,Happy birthday Sotrans,,,,
STL00052,Chúc mừng sinh nhật Sotrans,,,,
STL00048,Chúc công ty ngày càng phát triển mạnh,,,,
STL00159,chúc mừng sinh nhật Sotrans,,,,
STL00642,Chúc công ty ngày càng phát triển và thành công hơn ạ,,,,
STL00743,CHÚC MỪNG SINH NHẬT CÔNG TY. CHÚC CÔNG TY NGÀY 1 PHÁT TRIỂN,,,,
STL00754,"Nhân dịp kỷ niệm ngày thành lập, xin chúc công ty ngày càng phát triển vững mạnh, thành công",,,,
STL00051,Chúc công ty ngày càng phát triển.,,,,
STL00715,"Kính chúc công ty Sotrans ngày càng phát triển, tiếp tục khẳng định vị thế trong ngành logistics.",,,,
STL00596,CHÚC MỪNG SINH NHẬT SOTRANS YÊU,,,,
STL00627,CHÚC MỪNG SINH NHẬT SOTRANS,,,,
STL00043,Chúc mừng sinh thần công ty Sotrans.,,,,
STL00461,HPBD🥳🥳🥳,,,,
STL00364,"50 năm – một hành trình bền bỉ, một chặng đường tự hào. Chúc mừng sinh nhật Sotrans",,,,
SWC00052,Chúc mừng công ty phát triển thành công trên thị trường Quốc Tế🎂🎂🎂🎁🎁🎁🎉🎉🎉🌷🌷🌷,,,,
SWC00070,Xin chúc Sinh Nhật Tổng Cty SWC-SOTRANS ! nửa Thế Kỷ-1 chặng đường.! ĐOÀN KẾT-VỮNG BƯỚC-PHÁT TRIỂN !,,,,
VTX00236,"Chúc mừng Sotrans 50 năm thành lập – vững bước, thành công, vươn xa!",,,,
SWC00439,,,,,
